CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score
16446,5271,3,2.9,1,3,1
16738,5568,1,3.75,5,2,1
17956,5520,1,12.75,5,2,1
13307,5391,1,15.0,4,1,1
17763,5534,1,15.0,5,2,1
17900,5435,4,15.0,4,4,1
16093,5377,1,17.0,4,1,1
16953,5301,1,20.8,2,1,1
17986,5327,1,20.8,3,1,1
17102,5532,1,25.5,5,2,1
15657,5293,1,30.0,2,1,1
13120,5509,1,30.6,5,2,1
15940,5582,2,31.8,5,3,1
17408,5434,1,32.65,4,1,1
16765,5565,1,34.0,5,2,1
15744,5348,1,34.8,4,1,1
16856,5285,1,35.4,2,1,1
17831,5304,1,35.4,3,1,1
14576,5643,1,35.4,5,2,1
17816,5307,4,36.56,3,4,1
16162,5523,1,37.4,5,2,1
12855,5643,1,38.1,5,2,1
18019,5322,1,38.45,3,1,1
16659,5460,1,39.12,5,1,1
12977,5427,1,39.24,4,1,1
14589,5642,1,39.75,5,2,1
15178,5531,1,40.5,5,2,1
13832,5288,2,40.95,2,2,1
15992,5274,1,41.99,1,1,1
14300,5289,1,43.2,2,1,1
15423,5309,1,43.5,3,1,1
14080,5303,1,45.6,3,1,1
16257,5447,1,46.95,5,1,1
15603,5349,1,48.48,4,1,1
14821,5637,1,48.8,5,2,1
18184,5286,1,49.8,2,1,1
13011,5643,1,50.55,5,2,1
14351,5435,1,51.0,4,1,1
17844,5377,1,51.56,4,1,1
15313,5381,1,52.0,4,1,1
14682,5458,2,52.0,5,3,1
14865,5278,2,52.2,1,2,1
15504,5352,1,52.83,4,1,1
16349,5561,1,53.5,5,2,1
14760,5565,2,53.8,5,3,1
13366,5321,1,56.16,3,1,1
15899,5639,1,56.25,5,2,1
17775,5525,1,56.4,5,2,1
13080,5450,1,58.08,5,1,1
14957,5524,1,58.49,5,2,1
13682,5458,1,59.5,5,1,1
13106,5399,2,59.5,4,3,1
13391,5474,1,59.8,5,1,1
17174,5488,1,59.9,5,1,1
13194,5406,1,60.7,4,1,1
12665,5595,2,61.75,5,3,1
15729,5469,2,62.0,5,3,1
15516,5315,3,62.43,3,3,1
