StockCode,Description,total_quantity
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,53215
85099B,JUMBO BAG RED RETROSPOT,45066
84879,ASSORTED COLOUR BIRD ORNAMENT,35314
85123A,WHITE HANGING HEART T-LIGHT HOLDER,34147
21212,PACK OF 72 RETROSPOT CAKE CASES,33409
22197,POPCORN HOLDER,30504
23084,RABBIT NIGHT LIGHT,27094
22492,MINI PAINT SET VINTAGE ,25880
22616,PACK OF 12 LONDON TISSUES ,25321
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24163
17003,BROCADE RING PURSE ,22960
22178,VICTORIAN GLASS HANGING T-LIGHT,21984
15036,ASSORTED COLOURS SILK FAN,21132
21915,RED  HARMONICA IN BOX ,20912
22386,JUMBO BAG PINK POLKADOT,19709
22197,SMALL POPCORN HOLDER,18208
84991,60 TEATIME FAIRY CAKE CASES,17539
20725,LUNCH BAG RED RETROSPOT,17145
22469,HEART OF WICKER SMALL,16640
85099F,JUMBO BAG STRAWBERRY,16557
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15868
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,15546
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15164
47566,PARTY BUNTING,15027
22961,JAM MAKING SET PRINTED,14724
22952,60 CAKE CASES VINTAGE CHRISTMAS,14423
21213,PACK OF 72 SKULL CAKE CASES,14261
22151,PLACE SETTING WHITE HEART,13987
22629,SPACEBOY LUNCH BOX ,13865
84826,ASSTD DESIGN 3D PAPER STICKERS,13642
16014,SMALL CHINESE STYLE SCISSOR,13328
21790,VINTAGE SNAP CARDS,13251
23199,JUMBO BAG APPLES,13164
84992,72 SWEETHEART FAIRY CAKE CASES,12940
20668,DISCO BALL CHRISTMAS DECORATION,12714
21731,RED TOADSTOOL LED NIGHT LIGHT,12697
84946,ANTIQUE SILVER T-LIGHT GLASS,12657
20724,RED RETROSPOT CHARLOTTE BAG,12586
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12512
84568,GIRLS ALPHABET IRON ON PATCHES ,12480
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12296
21975,PACK OF 60 DINOSAUR CAKE CASES,12063
22969,HOMEMADE JAM SCENTED CANDLES,11952
23201,JUMBO BAG ALPHABET,11946
23310,BUBBLEGUM RING ASSORTED,11891
21181,PLEASE ONE PERSON METAL SIGN,11876
22993,SET OF 4 PANTRY JELLY MOULDS,11724
22998,TRAVEL CARD WALLET KEEP CALM,11592
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11587
22423,REGENCY CAKESTAND 3 TIER,11555
23206,LUNCH BAG APPLE DESIGN,11507
21137,BLACK RECORD COVER FRAME,11391
21931,JUMBO STORAGE BAG SUKI,11182
20727,LUNCH BAG  BLACK SKULL.,11173
22630,DOLLY GIRL LUNCH BOX,11070
84978,HANGING HEART JAR T-LIGHT HOLDER,10805
22659,LUNCH BOX I LOVE LONDON,10772
20728,LUNCH BAG CARS BLUE,10606
21498,RED RETROSPOT WRAP ,10497
23202,JUMBO BAG VINTAGE LEAF,10474
71459,HANGING JAM JAR T-LIGHT HOLDER,10402
84212,"""ASSORTED FLOWER COLOUR """"LEIS""""""",10297
20713,JUMBO BAG OWLS,10223
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10177
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10176
21166,COOK WITH WINE METAL SIGN ,10122
22384,LUNCH BAG PINK POLKADOT,10102
23203,JUMBO BAG VINTAGE DOILY ,10068
21326,AGED GLASS SILVER T-LIGHT HOLDER,10067
22382,LUNCH BAG SPACEBOY DESIGN ,9753
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,9683
21929,JUMBO BAG PINK VINTAGE PAISLEY,9667
23077,DOUGHNUT LIP GLOSS ,9602
79321,CHILLI LIGHTS,9570
22470,HEART OF WICKER LARGE,9523
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,9497
21175,GIN + TONIC DIET METAL SIGN,9489
22383,LUNCH BAG SUKI DESIGN ,9467
22489,PACK OF 12 TRADITIONAL CRAYONS,9312
21703,BAG 125g SWIRLY MARBLES,9186
22610,PENS ASSORTED FUNNY FACE,9146
20719,WOODLAND CHARLOTTE BAG,9125
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9082
20726,LUNCH BAG WOODLAND,9033
21232,STRAWBERRY CERAMIC TRINKET BOX,8965
16045,POPART WOODEN PENCILS ASST,8900
22355,CHARLOTTE BAG SUKI DESIGN,8825
23203,JUMBO BAG DOILEY PATTERNS,8715
22988,SOLDIERS EGG CUP ,8709
22699,ROSES REGENCY TEACUP AND SAUCER ,8697
23344,JUMBO BAG 50'S CHRISTMAS ,8692
21497,FANCY FONTS BIRTHDAY WRAP,8600
22077,6 RIBBONS RUSTIC CHARM,8571
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8569
84970S,HANGING HEART ZINC T-LIGHT HOLDER,8445
22457,NATURAL SLATE HEART CHALKBOARD ,8428
22558,CLOTHES PEGS RETROSPOT PACK 24 ,8376
22741,FUNKY DIVA PEN,8277
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8241
21787,RAIN PONCHO RETROSPOT,8227
