InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,line_total,is_return,year,month
567306,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,72,2011-09-19 13:32:00,0.85,12752,Norway,61.2,0,2011,9
567306,21094,SET/6 RED SPOTTY PAPER PLATES,72,2011-09-19 13:32:00,0.85,12752,Norway,61.2,0,2011,9
567306,21086,SET/6 RED SPOTTY PAPER CUPS,72,2011-09-19 13:32:00,0.65,12752,Norway,46.8,0,2011,9
567306,84997D,CHILDRENS CUTLERY POLKADOT PINK,72,2011-09-19 13:32:00,3.75,12752,Norway,270.0,0,2011,9
567306,84997C,CHILDRENS CUTLERY POLKADOT BLUE,72,2011-09-19 13:32:00,3.75,12752,Norway,270.0,0,2011,9
567306,84997B,CHILDRENS CUTLERY RETROSPOT RED ,72,2011-09-19 13:32:00,3.75,12752,Norway,270.0,0,2011,9
567306,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,72,2011-09-19 13:32:00,3.75,12752,Norway,270.0,0,2011,9
567306,22635,CHILDS BREAKFAST SET DOLLY GIRL ,24,2011-09-19 13:32:00,8.5,12752,Norway,204.0,0,2011,9
567306,22634,CHILDS BREAKFAST SET SPACEBOY ,24,2011-09-19 13:32:00,8.5,12752,Norway,204.0,0,2011,9
567306,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2011-09-19 13:32:00,1.45,12752,Norway,34.8,0,2011,9
567306,21973,SET OF 36 MUSHROOM PAPER DOILIES,16,2011-09-19 13:32:00,1.45,12752,Norway,23.2,0,2011,9
567306,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,16,2011-09-19 13:32:00,1.45,12752,Norway,23.2,0,2011,9
567306,22949,36 DOILIES DOLLY GIRL,12,2011-09-19 13:32:00,1.45,12752,Norway,17.4,0,2011,9
567306,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-09-19 13:32:00,0.55,12752,Norway,13.2,0,2011,9
567306,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-09-19 13:32:00,0.55,12752,Norway,13.2,0,2011,9
567306,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-09-19 13:32:00,0.55,12752,Norway,13.2,0,2011,9
567306,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-19 13:32:00,0.55,12752,Norway,13.2,0,2011,9
567306,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-09-19 13:32:00,0.55,12752,Norway,13.2,0,2011,9
567306,22315,200 RED + WHITE BENDY STRAWS,72,2011-09-19 13:32:00,1.25,12752,Norway,90.0,0,2011,9
567306,22625,RED KITCHEN SCALES,12,2011-09-19 13:32:00,7.65,12752,Norway,91.8,0,2011,9
567306,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2011-09-19 13:32:00,1.45,12752,Norway,69.6,0,2011,9
567307,20725,LUNCH BAG RED RETROSPOT,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,85014B,RED RETROSPOT UMBRELLA,4,2011-09-19 13:35:00,5.95,15078,United Kingdom,23.8,0,2011,9
567307,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567307,85099B,JUMBO BAG RED RETROSPOT,20,2011-09-19 13:35:00,2.08,15078,United Kingdom,41.6,0,2011,9
567307,23209,LUNCH BAG VINTAGE DOILY ,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,23207,LUNCH BAG ALPHABET DESIGN,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,23203,JUMBO BAG VINTAGE DOILY ,20,2011-09-19 13:35:00,2.08,15078,United Kingdom,41.6,0,2011,9
567307,23202,JUMBO BAG VINTAGE LEAF,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567307,23201,JUMBO BAG ALPHABET,20,2011-09-19 13:35:00,2.08,15078,United Kingdom,41.6,0,2011,9
567307,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,22383,LUNCH BAG SUKI DESIGN ,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2011-09-19 13:35:00,2.1,15078,United Kingdom,50.4,0,2011,9
567307,22384,LUNCH BAG PINK POLKADOT,10,2011-09-19 13:35:00,1.65,15078,United Kingdom,16.5,0,2011,9
567307,22381,TOY TIDY PINK POLKADOT,10,2011-09-19 13:35:00,2.1,15078,United Kingdom,21.0,0,2011,9
567307,22379,RECYCLING BAG RETROSPOT ,10,2011-09-19 13:35:00,2.1,15078,United Kingdom,21.0,0,2011,9
567307,22378,WALL TIDY RETROSPOT ,10,2011-09-19 13:35:00,2.1,15078,United Kingdom,21.0,0,2011,9
567307,22386,JUMBO BAG PINK POLKADOT,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567307,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567307,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567307,84991,60 TEATIME FAIRY CAKE CASES,24,2011-09-19 13:35:00,0.55,15078,United Kingdom,13.2,0,2011,9
567307,82582,AREA PATROLLED METAL SIGN,12,2011-09-19 13:35:00,2.1,15078,United Kingdom,25.2,0,2011,9
567307,82600,NO SINGING METAL SIGN,12,2011-09-19 13:35:00,2.1,15078,United Kingdom,25.2,0,2011,9
567307,85014A,BLACK/BLUE POLKADOT UMBRELLA,4,2011-09-19 13:35:00,5.95,15078,United Kingdom,23.8,0,2011,9
567307,20711,JUMBO BAG TOYS ,10,2011-09-19 13:35:00,2.08,15078,United Kingdom,20.8,0,2011,9
567308,21094,SET/6 RED SPOTTY PAPER PLATES,96,2011-09-19 13:35:00,0.64,16422,United Kingdom,61.44,0,2011,9
567308,22333,RETROSPOT PARTY BAG + STICKER SET,48,2011-09-19 13:35:00,1.45,16422,United Kingdom,69.6,0,2011,9
567308,21207,SKULL AND CROSSBONES  GARLAND ,48,2011-09-19 13:35:00,1.45,16422,United Kingdom,69.6,0,2011,9
567308,21213,PACK OF 72 SKULL CAKE CASES,120,2011-09-19 13:35:00,0.42,16422,United Kingdom,50.4,0,2011,9
567308,20677,PINK POLKADOT BOWL,72,2011-09-19 13:35:00,1.06,16422,United Kingdom,76.32,0,2011,9
567308,17003,BROCADE RING PURSE ,720,2011-09-19 13:35:00,0.32,16422,United Kingdom,230.4,0,2011,9
567308,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2011-09-19 13:35:00,2.95,16422,United Kingdom,17.7,0,2011,9
567309,21787,RAIN PONCHO RETROSPOT,1788,2011-09-19 13:39:00,0.85,12901,United Kingdom,1519.8,0,2011,9
567310,21466,RED FLOWER CROCHET FOOD COVER,2,2011-09-19 13:45:00,3.75,15504,United Kingdom,7.5,0,2011,9
567310,21465,PINK FLOWER CROCHET FOOD COVER,2,2011-09-19 13:45:00,3.75,15504,United Kingdom,7.5,0,2011,9
567310,21470,FLOWER VINE RAFFIA FOOD COVER,2,2011-09-19 13:45:00,3.75,15504,United Kingdom,7.5,0,2011,9
567310,21468,BUTTERFLY CROCHET FOOD COVER,2,2011-09-19 13:45:00,3.75,15504,United Kingdom,7.5,0,2011,9
567310,21992,VINTAGE PAISLEY STATIONERY SET,3,2011-09-19 13:45:00,1.25,15504,United Kingdom,3.75,0,2011,9
567310,21993,FLORAL FOLK STATIONERY SET,2,2011-09-19 13:45:00,1.25,15504,United Kingdom,2.5,0,2011,9
567310,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2011-09-19 13:45:00,4.95,15504,United Kingdom,4.95,0,2011,9
567310,22096,PINK PAISLEY SQUARE TISSUE BOX ,5,2011-09-19 13:45:00,0.39,15504,United Kingdom,1.95,0,2011,9
567310,20616,CHERRY BLOSSOM PASSPORT COVER,1,2011-09-19 13:45:00,0.75,15504,United Kingdom,0.75,0,2011,9
567310,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,1,2011-09-19 13:45:00,4.25,15504,United Kingdom,4.25,0,2011,9
567310,37479P,CUBIC MUG FLOCK PINK ON BROWN,6,2011-09-19 13:45:00,0.39,15504,United Kingdom,2.34,0,2011,9
567310,85160B,BLACK BIRD GARDEN DESIGN MUG,3,2011-09-19 13:45:00,0.39,15504,United Kingdom,1.17,0,2011,9
567310,37340,MULTICOLOUR SPRING FLOWER MUG,3,2011-09-19 13:45:00,0.39,15504,United Kingdom,1.17,0,2011,9
567311,21232,STRAWBERRY CERAMIC TRINKET BOX,36,2011-09-19 13:45:00,1.06,13777,United Kingdom,38.16,0,2011,9
567311,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,24,2011-09-19 13:45:00,1.25,13777,United Kingdom,30.0,0,2011,9
567311,20832,RED FLOCK LOVE HEART PHOTO FRAME,24,2011-09-19 13:45:00,0.72,13777,United Kingdom,17.28,0,2011,9
567311,22041,"""RECORD FRAME 7"""" SINGLE SIZE """,48,2011-09-19 13:45:00,2.1,13777,United Kingdom,100.8,0,2011,9
567311,84050,PINK HEART SHAPE EGG FRYING PAN,24,2011-09-19 13:45:00,1.65,13777,United Kingdom,39.6,0,2011,9
567311,21156,RETROSPOT CHILDRENS APRON,20,2011-09-19 13:45:00,1.65,13777,United Kingdom,33.0,0,2011,9
567311,20727,LUNCH BAG  BLACK SKULL.,20,2011-09-19 13:45:00,1.45,13777,United Kingdom,29.0,0,2011,9
567311,20971,PINK BLUE FELT CRAFT TRINKET BOX,24,2011-09-19 13:45:00,1.06,13777,United Kingdom,25.44,0,2011,9
567312,22820,GIFT BAG BIRTHDAY,12,2011-09-19 13:47:00,0.65,15500,United Kingdom,7.8,0,2011,9
567312,22434,BALLOON PUMP WITH 10 BALLOONS,8,2011-09-19 13:47:00,1.95,15500,United Kingdom,15.6,0,2011,9
567312,22439,6 ROCKET BALLOONS ,24,2011-09-19 13:47:00,0.65,15500,United Kingdom,15.6,0,2011,9
567312,23007, SPACEBOY BABY GIFT SET,2,2011-09-19 13:47:00,16.95,15500,United Kingdom,33.9,0,2011,9
567312,23008,DOLLY GIRL BABY GIFT SET,2,2011-09-19 13:47:00,16.95,15500,United Kingdom,33.9,0,2011,9
567312,23316,RED REFECTORY CLOCK ,2,2011-09-19 13:47:00,9.95,15500,United Kingdom,19.9,0,2011,9
567312,22083,PAPER CHAIN KIT RETROSPOT,6,2011-09-19 13:47:00,2.95,15500,United Kingdom,17.7,0,2011,9
567312,84997B,CHILDRENS CUTLERY RETROSPOT RED ,4,2011-09-19 13:47:00,4.15,15500,United Kingdom,16.6,0,2011,9
567312,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-09-19 13:47:00,4.15,15500,United Kingdom,16.6,0,2011,9
567312,22423,REGENCY CAKESTAND 3 TIER,2,2011-09-19 13:47:00,12.75,15500,United Kingdom,25.5,0,2011,9
567312,23306,SET OF 36 DOILIES PANTRY DESIGN,12,2011-09-19 13:47:00,1.45,15500,United Kingdom,17.4,0,2011,9
567312,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4,2011-09-19 13:47:00,3.75,15500,United Kingdom,15.0,0,2011,9
567312,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2011-09-19 13:47:00,2.95,15500,United Kingdom,35.4,0,2011,9
567312,35970,ZINC FOLKART SLEIGH BELLS,12,2011-09-19 13:47:00,1.69,15500,United Kingdom,20.28,0,2011,9
567312,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2011-09-19 13:47:00,2.95,15500,United Kingdom,35.4,0,2011,9
567312,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-09-19 13:47:00,2.89,15500,United Kingdom,34.68,0,2011,9
567312,84949,SILVER HANGING T-LIGHT HOLDER,12,2011-09-19 13:47:00,1.65,15500,United Kingdom,19.8,0,2011,9
567312,23215,JINGLE BELL HEART ANTIQUE SILVER,12,2011-09-19 13:47:00,2.08,15500,United Kingdom,24.96,0,2011,9
567313,23207,LUNCH BAG ALPHABET DESIGN,10,2011-09-19 13:48:00,1.65,15675,United Kingdom,16.5,0,2011,9
567313,23201,JUMBO BAG ALPHABET,10,2011-09-19 13:48:00,2.08,15675,United Kingdom,20.8,0,2011,9
567313,23202,JUMBO BAG VINTAGE LEAF,10,2011-09-19 13:48:00,2.08,15675,United Kingdom,20.8,0,2011,9
567313,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-09-19 13:48:00,2.95,15675,United Kingdom,17.7,0,2011,9
567313,23082,SET 6 PAPER TABLE LANTERN HEARTS ,6,2011-09-19 13:48:00,3.75,15675,United Kingdom,22.5,0,2011,9
567323,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-09-19 14:23:00,7.95,17557,United Kingdom,7.95,0,2011,9
567323,23091,ZINC HERB GARDEN CONTAINER,3,2011-09-19 14:23:00,6.25,17557,United Kingdom,18.75,0,2011,9
567323,84659A,WHITE TRAVEL ALARM CLOCK,8,2011-09-19 14:23:00,2.55,17557,United Kingdom,20.4,0,2011,9
